date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:04:27	1693/1693	---M--	200	added ('OK')	image/png	etag:%2269d-5308710e3ba79%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/images/tasks-tab-icon.png	ukepengen.no/wp-content/themes/veckopengen/assets/images/tasks-tab-icon.png	(from http://ukepengen.no/traning/)
15:04:28	22467/22467	---M--	200	added ('OK')	image/png	etag:%2257c3-5308710e38b99%22	http://ukepengen.no/wp-content/themes/veckopengen/assets/images/economical-training.png	ukepengen.no/wp-content/themes/veckopengen/assets/images/economical-training.png	(from http://ukepengen.no/upplev-veckopengen/)
15:04:36	52726/52726	---M--	200	added ('OK')	image/png	etag:%22cdf6-5308710e550b9%22	http://ukepengen.no/wp-content/uploads/2015/10/bodil-ny1.png	ukepengen.no/wp-content/uploads/2015/10/bodil-ny1.png	(from http://ukepengen.no/traning/)
15:04:36	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2014%20Feb%202017%2014:04:36%20GMT	http://ukepengen.no/?p=58	ukepengen.no/indexe9b4.html	(from http://ukepengen.no/traning/)
15:04:37	2179/2179	---MCZ	200	added ('OK')	application/json	date:Tue,%2014%20Feb%202017%2014:04:36%20GMT	http://ukepengen.no/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fukepengen.no%2Fom-oss%2F	ukepengen.no/wp-json/oembed/1.0/embed770f.json	(from http://ukepengen.no/om-oss/)
15:04:38	2276/2276	---MCZ	200	added ('OK')	text/xml	date:Tue,%2014%20Feb%202017%2014:04:37%20GMT	http://ukepengen.no/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fukepengen.no%2Fom-oss%2F&format=xml	ukepengen.no/wp-json/oembed/1.0/embed41e1	(from http://ukepengen.no/om-oss/)
15:05:11	208707/208707	---M--	200	added ('OK')	image/png	etag:%2232f43-5308710e53179%22	http://ukepengen.no/wp-content/uploads/2015/10/about-philip.png	ukepengen.no/wp-content/uploads/2015/10/about-philip.png	(from http://ukepengen.no/om-oss/)
15:06:10	633756/633756	---M--	200	added ('OK')	image/png	etag:%229ab9c-5308710e5fc99%22	http://ukepengen.no/wp-content/uploads/2015/10/liv.png	ukepengen.no/wp-content/uploads/2015/10/liv.png	(from http://ukepengen.no/traning/)
15:08:46	1330150/1330150	---M--	200	added ('OK')	image/png	etag:%22144be6-5308710e4b479%22	http://ukepengen.no/wp-content/uploads/2015/10/about-philip-collage-11.png	ukepengen.no/wp-content/uploads/2015/10/about-philip-collage-11.png	(from http://ukepengen.no/om-oss/)
15:08:47	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2014%20Feb%202017%2014:08:47%20GMT	http://ukepengen.no/?p=48	ukepengen.no/index94b0.html	(from http://ukepengen.no/om-oss/)
15:08:48	2196/2196	---MCZ	200	added ('OK')	application/json	date:Tue,%2014%20Feb%202017%2014:08:47%20GMT	http://ukepengen.no/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fukepengen.no%2Fvillkor%2F	ukepengen.no/wp-json/oembed/1.0/embed5bdf.json	(from http://ukepengen.no/villkor/)
15:08:49	2293/2293	---MCZ	200	added ('OK')	text/xml	date:Tue,%2014%20Feb%202017%2014:08:48%20GMT	http://ukepengen.no/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fukepengen.no%2Fvillkor%2F&format=xml	ukepengen.no/wp-json/oembed/1.0/embed7f0d	(from http://ukepengen.no/villkor/)
15:08:50	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2014%20Feb%202017%2014:08:49%20GMT	http://ukepengen.no/?p=210	ukepengen.no/indexe4c6.html	(from http://ukepengen.no/villkor/)
15:08:50	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2014%20Feb%202017%2014:08:50%20GMT	http://ukepengen.no/villkor/%22https://mixpanel.com/terms/	ukepengen.no/villkor/_https_/mixpanel.com/terms/index.html	(from http://ukepengen.no/villkor/)
15:09:13	1186113/1186113	---M--	200	added ('OK')	image/png	etag:%22121941-5308710e521d9%22	http://ukepengen.no/wp-content/uploads/2015/10/about-philip-collage-21.png	ukepengen.no/wp-content/uploads/2015/10/about-philip-collage-21.png	(from http://ukepengen.no/om-oss/)
